id;tel_number;message;created_timestamp;uuid_device;is_sending;sending_timestamp;is_send;send_timestamp;alert_type;feature_send
1;Fresh plum;Ergonomic Rubber Sausages Sleek Fresh Chips Berkshire;2021-02-03T20:37:27;e-business;false;2021-02-04T09:11:41;false;2021-02-04T01:59:16;UNKNOWN;2021-02-04T11:00:25
2;payment;methodology;2021-02-04T13:28:56;Mayotte 1080p robust;true;2021-02-04T10:44:58;false;2021-02-03T19:24:06;WARN;2021-02-04T11:00:10
3;GB Fresh;Steel;2021-02-04T10:35:30;extend world-class SDD;false;2021-02-04T13:47:51;true;2021-02-03T21:46:18;DEBUG;2021-02-04T08:08:16
4;website Versatile deposit;Chair;2021-02-03T17:28:28;Outdoors Customer-focused bluetooth;true;2021-02-04T10:50:11;true;2021-02-03T17:02:16;WARN;2021-02-03T17:34:34
5;Persistent;back-end Chad;2021-02-03T22:45:33;Generic Tools indexing;true;2021-02-04T09:22:06;false;2021-02-03T18:20:36;DEBUG;2021-02-03T20:23:04
6;Corporate Functionality zero administration;Forest compressing analyzer;2021-02-03T18:29:27;Bedfordshire override Grocery;true;2021-02-04T06:57:48;false;2021-02-04T11:17:39;UNKNOWN;2021-02-04T01:51:34
7;Garden;Investor;2021-02-04T10:12:24;Compatible haptic;true;2021-02-03T18:59:33;true;2021-02-03T17:21:50;INFO;2021-02-04T14:03:58
8;Open-architected synthesizing;Outdoors Internal;2021-02-03T15:54:40;Martinique;false;2021-02-04T06:18:35;true;2021-02-04T14:30:55;DEBUG;2021-02-03T17:39:32
9;Delaware Sleek reboot;Product Granite;2021-02-04T08:20:19;solutions Metal;true;2021-02-03T20:44:58;true;2021-02-04T01:38:52;ERROR;2021-02-04T07:04:16
10;IB East Caribbean Dollar;protocol ivory bypassing;2021-02-04T14:47:20;Money Market Account;false;2021-02-04T04:46:13;true;2021-02-04T08:47:39;ERROR;2021-02-04T06:01:54
